#yr	mi	price
2012	78.3	19450
2011	18.44	19999
2009	93.42	13920
2005	177.5	5998
2009	23.134	17950
2013	16.77	19715
2003	110.9	7991
2007	106.5	17999
2010	58.99	20991
2014	5.761	31995
2001	135.19	6995
2004	171.36	6995
2010	29.424	19950
2004	175.48	5995
2007	112.7	10777
2005	106.1	9995
2002	158.42	5999
2009	73.23	16999
2003	108.8	8389
2013	14.87	19992
2001	173.67	4995
2004	154.67	7995
2012	17.08	23397
2009	57	20988
2010	28.651	21999
2008	105.48	15999
2001	173.67	4995
1998	95	1998
1999	124.50	4995
2004	171.4	6995
2009	123.3	14999
2009	91.3	15900
2009	76	15450
2005	118	9995
2002	158.42	5999
2012	12	24988

