#yr	mi	price
1998	170	2600
2001	171	6250
1997	249	3400
2004	162	4600
2003	224	3999
1997	183	2195
2002	151	6900
2008	91.7	17000
1997	144	3000
2001	170	4700
2001	201	3300
1998	198	1800
1998	209	2950
2006	124	7800
2007	129.9	9900
2005	99	9950
2005	60	11000
1996	199	2800
1999	308	1800
2012	8.5	27000
2000	220	3600
2009	76.57	17500
2006	124	7800
1999	211.4	2500
2002	190.27	6000
2002	173	4800
2006	130	7400
2001	190	3700
1997	160.9	3100
2001	97	5450
2005	94	10000
1997	249	3400
2005	65	11500
1999	211	2500
1999	232.2	4000
1996	196	2100
1999	174	4000
2008	33.1	19000
2007	131	8950
2006	81.5	10999
1998	200	3500
2005	123	8400
1999	130	4600
1999	171	2250

